ticker,assetName,market,assetType,dividendYield,yieldStatus,yieldSource,rawSourceValue,sourceFile
211900,KODEX 코리아배당성장,KR,ETF,2.65,manual,k_etf_rank_dividend_yield,2.65%,k-etf_rank_dividend_yield.csv
192720,파워 고배당저변동성,KR,ETF,2.64,manual,k_etf_rank_dividend_yield,2.64%,k-etf_rank_dividend_yield.csv
0144L0,KODEX 미국성장커버드콜액티브,KR,ETF,2.6,manual,k_etf_rank_dividend_yield,2.60%,k-etf_rank_dividend_yield.csv
489250,KODEX 미국배당다우존스,KR,ETF,2.6,manual,k_etf_rank_dividend_yield,2.60%,k-etf_rank_dividend_yield.csv
190620,ACE 단기통안채,KR,ETF,2.55,manual,k_etf_rank_dividend_yield,2.55%,k-etf_rank_dividend_yield.csv
465350,RISE 2차전지TOP10인버스(합성),KR,ETF,2.54,manual,k_etf_rank_dividend_yield,2.54%,k-etf_rank_dividend_yield.csv
438560,SOL 국고채3년,KR,ETF,2.53,manual,k_etf_rank_dividend_yield,2.53%,k-etf_rank_dividend_yield.csv
114470,KIWOOM 국고채3년,KR,ETF,2.52,manual,k_etf_rank_dividend_yield,2.52%,k-etf_rank_dividend_yield.csv
281990,RISE 중소형고배당,KR,ETF,2.52,manual,k_etf_rank_dividend_yield,2.52%,k-etf_rank_dividend_yield.csv
210780,TIGER 코스피고배당,KR,ETF,2.49,manual,k_etf_rank_dividend_yield,2.49%,k-etf_rank_dividend_yield.csv
0085N0,ACE 미국10년국채액티브(H),KR,ETF,2.47,manual,k_etf_rank_dividend_yield,2.47%,k-etf_rank_dividend_yield.csv
284980,RISE 200금융,KR,ETF,2.46,manual,k_etf_rank_dividend_yield,2.46%,k-etf_rank_dividend_yield.csv
493420,SOL 미국배당다우존스2호,KR,ETF,2.44,manual,k_etf_rank_dividend_yield,2.44%,k-etf_rank_dividend_yield.csv
267440,RISE 미국장기국채선물(H),KR,ETF,2.44,manual,k_etf_rank_dividend_yield,2.44%,k-etf_rank_dividend_yield.csv
225030,TIGER 미국S&P500선물인버스(H),KR,ETF,2.43,manual,k_etf_rank_dividend_yield,2.43%,k-etf_rank_dividend_yield.csv
461600,SOL 미국30년국채액티브(H),KR,ETF,2.41,manual,k_etf_rank_dividend_yield,2.41%,k-etf_rank_dividend_yield.csv
0091C0,KODEX 미국10년국채액티브(H),KR,ETF,2.4,manual,k_etf_rank_dividend_yield,2.40%,k-etf_rank_dividend_yield.csv
0104N0,TIGER 200타겟위클리커버드콜,KR,ETF,2.38,manual,k_etf_rank_dividend_yield,2.38%,k-etf_rank_dividend_yield.csv
321410,KODEX 멀티에셋하이인컴(H),KR,ETF,2.38,manual,k_etf_rank_dividend_yield,2.38%,k-etf_rank_dividend_yield.csv
211560,TIGER 배당성장,KR,ETF,2.37,manual,k_etf_rank_dividend_yield,2.37%,k-etf_rank_dividend_yield.csv
269530,PLUS S&P글로벌인프라,KR,ETF,2.36,manual,k_etf_rank_dividend_yield,2.36%,k-etf_rank_dividend_yield.csv
0015F0,KIWOOM 팔란티어미국30년국채혼합액티브(H),KR,ETF,2.35,manual,k_etf_rank_dividend_yield,2.35%,k-etf_rank_dividend_yield.csv
474800,KIWOOM 미국원유에너지기업,KR,ETF,2.34,manual,k_etf_rank_dividend_yield,2.34%,k-etf_rank_dividend_yield.csv
0085P0,ACE 미국10년국채액티브,KR,ETF,2.34,manual,k_etf_rank_dividend_yield,2.34%,k-etf_rank_dividend_yield.csv
464470,PLUS 미국채30년액티브,KR,ETF,2.32,manual,k_etf_rank_dividend_yield,2.32%,k-etf_rank_dividend_yield.csv
454180,KIWOOM 차이나내수소비TOP CSI,KR,ETF,2.29,manual,k_etf_rank_dividend_yield,2.29%,k-etf_rank_dividend_yield.csv
139270,TIGER 200 금융,KR,ETF,2.27,manual,k_etf_rank_dividend_yield,2.27%,k-etf_rank_dividend_yield.csv
0098N0,PLUS 자사주매입고배당주,KR,ETF,2.27,manual,k_etf_rank_dividend_yield,2.27%,k-etf_rank_dividend_yield.csv
483030,KIWOOM 미국블록버스터바이오테크의약품+,KR,ETF,2.25,manual,k_etf_rank_dividend_yield,2.25%,k-etf_rank_dividend_yield.csv
244670,KODEX 밸류Plus,KR,ETF,2.25,manual,k_etf_rank_dividend_yield,2.25%,k-etf_rank_dividend_yield.csv
436140,SOL 종합채권(AA-이상)액티브,KR,ETF,2.23,manual,k_etf_rank_dividend_yield,2.23%,k-etf_rank_dividend_yield.csv
117680,KODEX 철강,KR,ETF,2.21,manual,k_etf_rank_dividend_yield,2.21%,k-etf_rank_dividend_yield.csv
438080,ACE 미국S&P500미국채혼합50액티브,KR,ETF,2.2,manual,k_etf_rank_dividend_yield,2.20%,k-etf_rank_dividend_yield.csv
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,KR,ETF,2.2,manual,k_etf_rank_dividend_yield,2.20%,k-etf_rank_dividend_yield.csv
463640,KODEX 미국S&P500유틸리티,KR,ETF,2.2,manual,k_etf_rank_dividend_yield,2.20%,k-etf_rank_dividend_yield.csv
0015E0,KIWOOM 엔비디아미국30년국채혼합액티브(H),KR,ETF,2.2,manual,k_etf_rank_dividend_yield,2.20%,k-etf_rank_dividend_yield.csv
192090,TIGER 차이나CSI300,KR,ETF,2.18,manual,k_etf_rank_dividend_yield,2.18%,k-etf_rank_dividend_yield.csv
497510,ACE 글로벌빅파마,KR,ETF,2.17,manual,k_etf_rank_dividend_yield,2.17%,k-etf_rank_dividend_yield.csv
310080,RISE 중국MSCI China(H),KR,ETF,2.15,manual,k_etf_rank_dividend_yield,2.15%,k-etf_rank_dividend_yield.csv
453630,KODEX 미국S&P500필수소비재,KR,ETF,2.14,manual,k_etf_rank_dividend_yield,2.14%,k-etf_rank_dividend_yield.csv
474390,SOL 국고채30년액티브,KR,ETF,2.11,manual,k_etf_rank_dividend_yield,2.11%,k-etf_rank_dividend_yield.csv
237370,KODEX 코리아배당성장채권혼합,KR,ETF,2.09,manual,k_etf_rank_dividend_yield,2.09%,k-etf_rank_dividend_yield.csv
