market,ticker,expectedCagr,priceCagr10y,mdd,beta,dataYears,benchmarkTicker,metricsStatus,metricsSource,reviewReason
KR,438560,-0.03,-0.03,-7.35,0.02,3.72,^KS11,ready,yfinance_kr_close_price_20260528,
KR,475070,88.76,88.76,-32.0,0.69,2.35,^KS11,short_history,yfinance_kr_close_price_20260528,price history shorter than 3 years
KR,140700,7.9,7.9,-67.72,0.65,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,375770,22.12,22.12,-33.55,1.0,5.3,^KS11,ready,yfinance_kr_close_price_20260528,
KR,433880,19.62,19.62,-14.52,0.17,3.91,^KS11,ready,yfinance_kr_close_price_20260528,
KR,256750,7.47,7.47,-58.67,0.28,9.55,^KS11,ready,yfinance_kr_close_price_20260528,
KR,400970,-1.12,-1.12,-60.01,0.72,4.62,^KS11,ready,yfinance_kr_close_price_20260528,
KR,385590,21.91,21.91,-39.08,1.0,5.0,^KS11,ready,yfinance_kr_close_price_20260528,
KR,275300,15.69,15.69,-38.57,0.92,8.87,^KS11,ready,yfinance_kr_close_price_20260528,
KR,114470,-0.32,-0.32,-7.87,0.01,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,453950,51.12,51.12,-37.02,0.64,3.15,^KS11,ready,yfinance_kr_close_price_20260528,
KR,415920,0.09,0.09,-68.7,0.55,4.35,^KS11,ready,yfinance_kr_close_price_20260528,
KR,218420,8.26,8.26,-64.56,0.17,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,447430,15.29,15.29,-14.51,0.39,3.53,^KS11,ready,yfinance_kr_close_price_20260528,
KR,140950,18.95,18.95,-40.51,1.0,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,101280,11.5,11.5,-22.72,0.29,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,316670,7.57,7.57,-44.89,1.01,7.34,^KS11,ready,yfinance_kr_close_price_20260528,
KR,442260,52.83,52.83,-22.9,1.06,3.59,^KS11,ready,yfinance_kr_close_price_20260528,
KR,200030,14.47,14.47,-35.32,0.22,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,305050,18.87,18.87,-34.53,0.95,7.64,^KS11,ready,yfinance_kr_close_price_20260528,
KR,138530,7.83,7.83,-55.72,0.88,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,440340,7.48,7.48,-11.02,0.02,3.74,^KS11,ready,yfinance_kr_close_price_20260528,
KR,182490,3.31,3.31,-19.56,0.06,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005830,7.04,7.04,-71.6,0.61,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005935,24.83,24.83,-48.4,1.06,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,005940,13.23,13.23,-62.99,1.05,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,006800,23.51,23.51,-68.74,1.34,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,015760,-4.57,-4.57,-74.3,0.64,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,016360,13.61,13.61,-52.62,1.06,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,024110,6.24,6.24,-65.87,0.62,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,039490,18.31,18.31,-59.38,1.31,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,042700,59.64,59.64,-68.15,1.37,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,066570,15.5,15.5,-65.03,0.98,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,071050,18.58,18.58,-67.38,1.26,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,086790,16.84,16.84,-66.76,0.84,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,105560,16.53,16.53,-62.03,0.82,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,138040,24.58,24.58,-65.32,0.61,9.99,^KS11,ready,yfinance_kr_close_price_20260528,
KR,316140,10.24,10.24,-56.56,0.72,7.26,^KS11,ready,yfinance_kr_close_price_20260528,
KR,326030,-4.85,-4.85,-76.13,0.81,5.9,^KS11,ready,yfinance_kr_close_price_20260528,
